sourcesiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,AGGR_downlinkcostbuffer
ATLANTAGAWDC,32.4761735308,32.4761735308,32.2644982643,30.3577422395,3.159267843e+13,1.42167052935e+16,7640353100.0,136457.69331
BURBANKCAWDC,27.9553149305,27.9553149305,29.1638638619,30.0377088712,2.71948071151e+13,1.22376632018e+16,6906111350.0,135019.147094
NASHVILLE2TNWDC,15.1856467686,15.1856467686,20.4891340884,14.5328902103,1.47725302261e+13,6.64763860175e+15,4851903100.0,65325.170086
BURBANK1WDC,12.7684184782,12.7684184782,4.70194056266,11.5244925509,1.24210612022e+13,5.589477541e+15,1113437000.0,51802.45809
ANAHEIMCAWDC,5.60983179777,5.60983179777,6.65425514975,6.80141059437,5.45721964028e+12,2.45574883812e+15,1575752350.0,30572.260402
ANAHEIM1WDC,1.79937069578,1.79937069578,0.756605523968,1.86881469229,1.7504198798e+12,7.87688945909e+14,179167000.0,8400.3
ANAHEIM2WDC,1.78554399079,1.78554399079,0.656341050289,1.85611165563,1.73696932214e+12,7.81636194964e+14,155424000.0,8343.2
UNKNOWNWDC,0.816654100062,0.816654100062,3.24281016932,1.01164856395,7.9443750808e+11,3.57496878636e+14,767909500.0,4547.348363
HOUSTON2TXWDC,0.429641026086,0.429641026086,0.155394520592,0.474344385248,4.17952895977e+11,1.8807880319e+14,36798000.0,2132.172417
UNKNOWNWDC1,0.0723166828238,0.0723166828238,0.135037998865,0.107237056911,70349350221.6,3.16572075997e+13,31977500.0,482.029306
FTWORTH1TXWDC,0.0985017907534,0.0985017907534,0.254259100701,0.161807079743,95822107770.8,4.31199484968e+13,60209500.0,727.320915
KANSASCITYMOWDC,0.189410527916,0.189410527916,0.72693327007,0.201853504511,1.84257726485e+11,8.29159769181e+13,172140500.0,907.329122
ATLANTAWDC,0.278283715993,0.278283715993,0.174057656734,0.375977467073,2.70713172022e+11,1.2182092741e+14,41217500.0,1690.01428
BURBANK2WDC,0.24758481519,0.24758481519,0.154908886322,0.335934296374,2.40849416667e+11,1.083822375e+14,36683000.0,1510.0207
CHICAGOILWDC,0.00860541188186,0.00860541188186,0.0241275774065,0.0105873009728,8371306739.18,3.76708803263e+12,5713500.0,47.589793
PHOENIXWDC,0.0241323644316,0.0241323644316,0.245570470175,0.0394672159063,23475857724.4,1.0564135976e+13,58152000.0,177.40467
FAIRFAXSCWDC,0.0116694654055,0.0116694654055,0.00096176699997,0.0105366696942,11352004498.2,5.10840202417e+12,227750.0,47.362206
NASHVILLEWDC,0.0622678358152,0.0622678358152,0.0386776024269,0.0843537252316,60573876155.0,2.72582442697e+13,9159000.0,379.169
HOUSTONWDC,0.0583102573215,0.0583102573215,0.0426809179745,0.0788093280361,56723961244.4,2.552578256e+13,10107000.0,354.247
ORLANDO2FLWDC,0.0134961765763,0.0134961765763,0.020191828366,0.0142464057909,13129021071.6,5.9080594822e+12,4781500.0,64.037426
PHOENIX1AZWDC,0.0199885467846,0.0199885467846,0.0187264797426,0.0252611550488,19444770186.7,8.750146584e+12,4434500.0,113.548594
AKRONOHWDC,0.0280696735091,0.0280696735091,0.00241127972331,0.0254419697613,27306054636.2,1.22877245863e+13,571000.0,114.361354
ORLANDOFLWDC,0.00258332444656,0.00258332444656,0.00313339676829,0.00346430274971,2513046632.27,1.13087098452e+12,742000.0,15.572
ELKRIDGEMDWDC,0.011189651263,0.011189651263,0.00490912903388,0.0103486636392,10885243415.8,4.8983595371e+12,1162500.0,46.517121
MIAMI2FLWDC,0.0188004402725,0.0188004402725,0.0131226825572,0.0179853052567,18288985409.8,8.2300434344e+12,3107500.0,80.843735
HARRISONNJWDC,0.00334678282074,0.00334678282074,0.00133654996922,0.00414055146519,3255735572.73,1.46508100773e+12,316500.0,18.61173
OMAHA1NEWDC,0.000433157117291,0.000433157117291,0.000477188456626,0.00058552545184,421373334.0,1.896180003e+11,113000.0,2.63193
PEARLCITYHIWDC,0.000715376969224,0.000715376969224,0.000990271620167,0.000902026838491,695915561.711,3.1316200277e+11,234500.0,4.0546
LENEXA3KSWDC,0.00230510914672,0.00230510914672,0.00181373842585,0.00305451302039,2242400015.18,1.00908000683e+12,429500.0,13.73
WASHINGTONDCWDC,3.96246310389e-05,3.96246310389e-05,0.000145690281005,3.98888699604e-05,38546666.3778,17345999870.0,34500.0,0.1793
SPRINGFIELD2WDC,4.55457110991e-05,4.55457110991e-05,0.000154136094397,6.17487715907e-05,44306666.9556,19938000130.0,36500.0,0.27756
HOUSTON1TXWDC,0.000184576862808,0.000184576862808,0.000570092403934,0.000166407555663,179555558.378,80800001270.0,135000.0,0.748
STOCKTONCAWDC,0.00291732066802,0.00291732066802,0.00188975074637,0.00342682856907,2837956683.98,1.27708050779e+12,447500.0,15.403554
PHOENIX2AZWDC,0.000278987466715,0.000278987466715,0.00592051518752,0.000371502643318,271397777.622,1.2212899993e+11,1402000.0,1.6699
ST.PAULMNWDC,1.25434599225e-05,1.25434599225e-05,3.58947069144e-05,1.1319273305e-05,12202222.5111,5491000130.0,8500.0,0.05088
ORLANDO1FLWDC,0.000269550746704,0.000269550746704,0.00101138615365,0.00024249229368,262217778.0,1.179980001e+11,239500.0,1.09
MIAMI1FLWDC,0.00230647517486,0.00230647517486,0.00408566222819,0.00296007450785,2243728881.33,1.0096779966e+12,967500.0,13.3055
MANHATTANNYWDC,3.48137542695e-06,3.48137542695e-06,2.32259868269e-05,3.32125454344e-06,3386666.66667,1524000000.0,5500.0,0.014929
TACOMAWAWDC,0.00371634083562,0.00371634083562,0.00122675439513,0.00339946653954,3615239980.31,1.62685799114e+12,290500.0,15.280562
BUFFALONYWDC,7.84131850065e-05,7.84131850065e-05,0.000280823295271,0.00011203143968,76280000.6667,34326000300.0,66500.0,0.50358
