sourcesiteid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,AGGR_uplinkcostbuffer
ATLANTAGAWDC,35.8359395454,35.8359395454,34.0534656721,34.9941440343,5.32724500196e+13,2.39726025088e+16,9569074900.0,260615.082666
BURBANKCAWDC,33.8258659895,33.8258659895,32.4897848677,35.684342977,5.02843452176e+13,2.26279553479e+16,9129678250.0,265755.264244
NASHVILLE2TNWDC,11.4469054334,11.4469054334,17.7974075505,10.4038971753,1.70165678734e+13,7.65745554303e+15,5001098200.0,77481.892963
BURBANK1WDC,8.68834430818,8.68834430818,4.17585672737,7.51102246773,1.29157877199e+13,5.81210447395e+15,1173422000.0,55937.52313
ANAHEIMCAWDC,6.14763743241,6.14763743241,6.73407724419,7.07618773231,9.13886204776e+12,4.11248792149e+15,1892285800.0,52699.138719
ANAHEIM1WDC,1.13835455025,1.13835455025,0.56506282196,1.07795732929,1.69223792238e+12,7.61507065069e+14,158783500.0,8027.97
ANAHEIM2WDC,1.13159559714,1.13159559714,0.550080695477,1.07259974855,1.6821902999e+12,7.56985634957e+14,154573500.0,7988.07
UNKNOWNWDC,0.614828563506,0.614828563506,2.14322522173,0.711876216403,9.13982564306e+11,4.11292153938e+14,602249500.0,5301.620717
HOUSTON2TXWDC,0.391989584553,0.391989584553,0.301580241748,0.485660747567,5.82717959017e+11,2.62223081558e+14,84744500.0,3616.90561
UNKNOWNWDC1,0.361282326096,0.361282326096,0.0988998282888,0.479839914278,5.37069626305e+11,2.41681331837e+14,27791000.0,3573.555587
FTWORTH1TXWDC,0.293577314281,0.293577314281,0.0784568768439,0.354490689889,4.36421731935e+11,1.96389779371e+14,22046500.0,2640.030868
KANSASCITYMOWDC,0.0488879502429,0.0488879502429,0.272277906959,0.0546169651137,72675111045.4,3.27037999704e+13,76510500.0,406.753909
ATLANTAWDC,0.0194773604323,0.0194773604323,0.320058790861,0.0242103084884,28954360435.6,1.3029462196e+13,89937000.0,180.30364
BURBANK2WDC,0.0177161603184,0.0177161603184,0.246276266306,0.0221822641089,26336222157.8,1.1851299971e+13,69204000.0,165.2
CHICAGOILWDC,0.00832653106086,0.00832653106086,0.0184322860142,0.0131962995472,12377928844.7,5.57006798013e+12,5179500.0,98.278006
PHOENIXWDC,0.00508719426692,0.00508719426692,0.0841312237982,0.00860972623889,7562444455.56,3.403100005e+12,23641000.0,64.12
FAIRFAXSCWDC,0.00423024523366,0.00423024523366,0.000249998666377,0.00351921888639,6288534098.44,2.8298403443e+12,70250.0,26.209
NASHVILLEWDC,0.0040331610327,0.0040331610327,0.0287400602087,0.00503532024264,5995555642.22,2.698000039e+12,8076000.0,37.5
HOUSTONWDC,0.00335888313818,0.00335888313818,0.0311742109248,0.00419260904683,4993197788.89,2.246939005e+12,8760000.0,31.224
ORLANDO2FLWDC,0.00248431352286,0.00248431352286,0.000508894082448,0.00207056396634,3693093292.89,1.6618919818e+12,143000.0,15.4203
PHOENIX1AZWDC,0.00182225925019,0.00182225925019,0.00241101916684,0.00298869754562,2708906646.8,1.21900799106e+12,677500.0,22.258
AKRONOHWDC,0.00175009288866,0.00175009288866,0.00118682640906,0.00149566198433,2601626666.51,1.17073199993e+12,333500.0,11.13878
ORLANDOFLWDC,0.00154061366283,0.00154061366283,0.000354090637787,0.00128098546973,2290222201.33,1.0305999906e+12,99500.0,9.54
ELKRIDGEMDWDC,0.00140649986893,0.00140649986893,0.00141458320121,0.00122353609119,2090853342.22,9.40884004e+11,397500.0,9.112152
MIAMI2FLWDC,0.00120556757068,0.00120556757068,0.000462630984043,0.00100320900735,1792154439.62,8.0646949783e+11,130000.0,7.47129
HARRISONNJWDC,0.000965430809256,0.000965430809256,0.000411029835823,0.000804845587584,1435175558.0,6.458290011e+11,115500.0,5.994
OMAHA1NEWDC,0.000470286307588,0.000470286307588,0.00040213308613,0.000390740850829,699111119.556,3.146000038e+11,113000.0,2.91
PEARLCITYHIWDC,0.000183154539845,0.000183154539845,0.000411029835823,0.000304804718688,272271110.889,1.225219999e+11,115500.0,2.27
LENEXA3KSWDC,0.0001830499005,0.0001830499005,0.00102668491459,0.0002780839526,272115557.711,1.2245200097e+11,288500.0,2.071
WASHINGTONDCWDC,0.000164159218232,0.000164159218232,0.000320282988953,0.000137460482918,244033332.444,1.098149996e+11,90000.0,1.023722
SPRINGFIELD2WDC,6.18801699538e-05,6.18801699538e-05,0.000160141494477,7.76110693399e-05,91988888.8889,41395000000.0,45000.0,0.578
HOUSTON1TXWDC,6.16335165979e-05,6.16335165979e-05,0.000204625242942,5.12931288717e-05,91622222.6667,41230000200.0,57500.0,0.382
STOCKTONCAWDC,5.59933697801e-05,5.59933697801e-05,0.000291813389935,9.01443171119e-05,83237778.3556,37457000260.0,82000.0,0.67134
PHOENIX2AZWDC,5.22546986796e-05,5.22546986796e-05,8.00707472383e-05,6.48549247252e-05,77680001.1111,34956000500.0,22500.0,0.483
ST.PAULMNWDC,3.3272829856e-05,3.3272829856e-05,8.89674969314e-05,2.76606925329e-05,49462221.1111,22257999500.0,25000.0,0.206
ORLANDO1FLWDC,3.21397180639e-05,3.21397180639e-05,5.69391980361e-05,2.67207660876e-05,47777776.8889,21499999600.0,16000.0,0.199
MIAMI1FLWDC,2.75983016714e-05,2.75983016714e-05,9.25261968087e-05,2.29073502239e-05,41026666.6667,18462000000.0,26000.0,0.1706
MANHATTANNYWDC,1.12930002154e-05,1.12930002154e-05,4.8042448343e-05,9.38986518848e-06,16787777.7778,7554500000.0,13500.0,0.06993
TACOMAWAWDC,1.03773919512e-05,1.03773919512e-05,5.51598480975e-05,1.62025863392e-05,15426666.6667,6942000000.0,15500.0,0.120667
BUFFALONYWDC,9.99619993914e-06,9.99619993914e-06,4.44837484657e-05,1.33101641166e-05,14860000.0,6687000000.0,12500.0,0.099126
MANHATTANNYWDCWDC,6.7882075555e-06,6.7882075555e-06,0.000147686044906,1.12522623022e-05,10091111.1111,4541000000.0,41500.0,0.0838
