sourcesiteid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
ATLANTAGAWDC,29.2654971554,29.2654971554,29.1420336954,30.3577422395,4.09444881552e+13,1.53541830582e+15,828031400.0,136457.69331
BURBANKCAWDC,27.7795443907,27.7795443907,28.4969844594,30.0377088712,3.88655357613e+13,1.45745759105e+15,809703200.0,135019.147094
NASHVILLE2TNWDC,17.4965163518,17.4965163518,23.3482997342,14.5328902103,2.44788565429e+13,9.1795712036e+14,663410300.0,65325.170086
BURBANK1WDC,12.7326816117,12.7326816117,4.60831406882,11.5244925509,1.78139168e+13,6.68021879999e+14,130939000.0,51802.45809
ANAHEIMCAWDC,6.10082430005,6.10082430005,7.05032212516,6.80141059437,8.53548214009e+12,3.20080580253e+14,200325350.0,30572.260402
ANAHEIM1WDC,1.94506299901,1.94506299901,0.809188683817,1.86881469229,2.72127989152e+12,1.02047995932e+14,22992000.0,8400.3
ANAHEIM2WDC,1.98234493683,1.98234493683,0.708145681415,1.85611165563,2.77343994379e+12,1.04003997892e+14,20121000.0,8343.2
UNKNOWNWDC,0.877041460675,0.877041460675,3.4967530565,1.01164856395,1.2270426676e+12,4.60141000351e+13,99355500.0,4547.348363
HOUSTON2TXWDC,0.437630203573,0.437630203573,0.16946083475,0.474344385248,6.12275424245e+11,2.29603284092e+13,4815000.0,2132.172417
UNKNOWNWDC1,0.0928363931689,0.0928363931689,0.162298782856,0.107237056911,1.29884641299e+11,4.87067404873e+12,4611500.0,482.029306
FTWORTH1TXWDC,0.108702607495,0.108702607495,0.266210125452,0.161807079743,1.52082590683e+11,5.70309715063e+12,7564000.0,727.320915
KANSASCITYMOWDC,0.186788512932,0.186788512932,0.793034473402,0.201853504511,2.6133026255e+11,9.79988484563e+12,22533000.0,907.329122
ATLANTAWDC,0.324038489231,0.324038489231,0.231033364428,0.375977467073,4.53352629333e+11,1.70007236e+13,6564500.0,1690.01428
BURBANK2WDC,0.304972386197,0.304972386197,0.17906889454,0.335934296374,4.26677810667e+11,1.60004179e+13,5088000.0,1510.0207
CHICAGOILWDC,0.0120391090403,0.0120391090403,0.0313405759803,0.0105873009728,16843560008.0,6.316335003e+11,890500.0,47.589793
PHOENIXWDC,0.025811959119,0.025811959119,0.253839308543,0.0394672159063,36112745626.7,1.354227961e+12,7212500.0,177.40467
FAIRFAXSCWDC,0.0166794003765,0.0166794003765,0.00138137855949,0.0105366696942,23335653842.7,8.750870191e+11,39250.0,47.362206
NASHVILLEWDC,0.080104435107,0.080104435107,0.0502223491565,0.0843537252316,1.12071736797e+11,4.20269012987e+12,1427000.0,379.169
HOUSTONWDC,0.0854590379605,0.0854590379605,0.062575568886,0.0788093280361,1.19563202667e+11,4.4836201e+12,1778000.0,354.247
ORLANDO2FLWDC,0.0145600214267,0.0145600214267,0.0203599362208,0.0142464057909,20370493680.0,7.63893513e+11,578500.0,64.037426
PHOENIX1AZWDC,0.0274814024938,0.0274814024938,0.0208526572356,0.0252611550488,38448414285.3,1.4418155357e+12,592500.0,113.548594
AKRONOHWDC,0.0302694924711,0.0302694924711,0.00329067249204,0.0254419697613,42349148192.0,1.5880930572e+12,93500.0,114.361354
ORLANDOFLWDC,0.00287181168113,0.00287181168113,0.00322028377563,0.00346430274971,4017866456.8,1.5066999213e+11,91500.0,15.572
ELKRIDGEMDWDC,0.0109530071297,0.0109530071297,0.00659894216318,0.0103486636392,15324027072.0,5.746510152e+11,187500.0,46.517121
MIAMI2FLWDC,0.0202557275353,0.0202557275353,0.0131098984308,0.0179853052567,28339186986.7,1.062719512e+12,372500.0,80.843735
HARRISONNJWDC,0.00443810911465,0.00443810911465,0.00183010662659,0.00414055146519,6209226691.47,2.3284600093e+11,52000.0,18.61173
OMAHA1NEWDC,0.000854662789595,0.000854662789595,0.000580706910359,0.00058552545184,1195733333.33,44840000000.0,16500.0,2.63193
PEARLCITYHIWDC,0.000926138827651,0.000926138827651,0.00123180253713,0.000902026838491,1295733336.0,48590000100.0,35000.0,4.0546
LENEXA3KSWDC,0.00246068174172,0.00246068174172,0.0019180925221,0.00305451302039,3442666765.33,1.291000037e+11,54500.0,13.73
WASHINGTONDCWDC,0.000164490184527,0.000164490184527,0.000281554865629,3.98888699604e-05,230133333.333,8630000000.0,8000.0,0.1793
SPRINGFIELD2WDC,0.000118631165451,0.000118631165451,0.000404735119341,6.17487715907e-05,165973341.333,6224000300.0,11500.0,0.27756
HOUSTON1TXWDC,0.000777659311436,0.000777659311436,0.000598304089461,0.000166407555663,1088000053.33,40800002000.0,17000.0,0.748
STOCKTONCAWDC,0.0051723395707,0.0051723395707,0.00281554865629,0.00342682856907,7236466722.67,2.713675021e+11,80000.0,15.403554
PHOENIX2AZWDC,0.00044936506849,0.00044936506849,0.00749639829737,0.000371502643318,628693325.333,23575999700.0,213000.0,1.6699
ST.PAULMNWDC,6.48049419208e-05,6.48049419208e-05,0.000140777432814,1.1319273305e-05,90666670.1333,3400000130.0,4000.0,0.05088
ORLANDO1FLWDC,0.000543217889991,0.000543217889991,0.0010206363879,0.00024249229368,760000021.333,28500000800.0,29000.0,1.09
MIAMI1FLWDC,0.002595933369,0.002595933369,0.00395936529791,0.00296007450785,3631893301.33,1.361959988e+11,112500.0,13.3055
MANHATTANNYWDC,2.20717999632e-05,2.20717999632e-05,0.000158374611916,3.32125454344e-06,30880000.0,1158000000.0,4500.0,0.014929
TACOMAWAWDC,0.00390869090225,0.00390869090225,0.00135498279084,0.00339946653954,5468533389.33,2.050700021e+11,38500.0,15.280562
