sourcesiteid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
ATLANTAGAWDC,31.2419948422,31.2419948422,30.1217426158,33.2490503173,32.5467633771,29.2654971554,1.0992242211e+14,4.12209082913e+15,1862826700.0,397072.775976,2.58667252331e+15,1.53541830582e+15
BURBANKCAWDC,31.525595688,31.525595688,30.4660064966,33.5590082591,33.9985203444,27.7795443907,1.10920248659e+14,4.1595093247e+15,1884117100.0,400774.411338,2.70205173366e+15,1.45745759105e+15
NASHVILLE2TNWDC,14.9906223489,14.9906223489,21.7531052455,11.9580074794,13.336377232,17.4965163518,5.27432875479e+13,1.97787328305e+15,1345282900.0,142807.063049,1.05991616269e+15,9.1795712036e+14
BURBANK1WDC,10.3406167615,10.3406167615,4.32237900532,9.0216511267,8.76151501448,12.7326816117,3.6382620453e+13,1.36434826699e+15,267310000.0,107739.98122,6.96326386988e+14,6.68021879999e+14
ANAHEIMCAWDC,6.48114061186,6.48114061186,7.17469234884,6.97276445749,6.73220326693,6.10082430005,2.28033669966e+13,8.55126262373e+14,443706350.0,83271.399121,5.3504568212e+14,3.20080580253e+14
ANAHEIM1WDC,1.52355706855,1.52355706855,0.70031886095,1.37562786699,1.24530342877,1.94506299901,5.36051183813e+12,2.0101919393e+14,43310000.0,16428.27,9.8971197998e+13,1.02047995932e+14
ANAHEIM2WDC,1.54597701818,1.54597701818,0.650208305649,1.36750553256,1.25791236032,1.98234493683,5.43939461048e+12,2.03977297893e+14,40211000.0,16331.27,9.9973300001e+13,1.04003997892e+14
UNKNOWNWDC,0.76853143155,0.76853143155,2.86025519548,0.824707429788,0.696899436898,0.877041460675,2.70401543981e+12,1.01400578993e+14,176887500.0,9848.96908,5.53864789579e+13,4.60141000351e+13
HOUSTON2TXWDC,0.45963714432,0.45963714432,0.267967771038,0.481401385748,0.474164843507,0.437630203573,1.61719597134e+12,6.06448489253e+13,16572000.0,5749.078027,3.76845205161e+13,2.29603284092e+13
UNKNOWNWDC1,0.297582116018,0.297582116018,0.134590257195,0.339596049721,0.432743304733,0.0928363931689,1.04701851257e+12,3.92631942213e+13,8323500.0,4055.584893,3.43925201726e+13,4.87067404873e+12
