sourcesiteid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
ATLANTAGAWDC,32.5467633771,32.5467633771,30.9544504748,34.9941440343,6.8977933955e+13,2.58667252331e+15,1034795300.0,260615.082666
BURBANKCAWDC,33.9985203444,33.9985203444,32.1395853431,35.684342977,7.20547128975e+13,2.70205173366e+15,1074413900.0,265755.264244
NASHVILLE2TNWDC,13.336377232,13.336377232,20.3972627502,10.4038971753,2.8264431005e+13,1.05991616269e+15,681872600.0,77481.892963
BURBANK1WDC,8.76151501448,8.76151501448,4.07934725418,7.51102246773,1.8568703653e+13,6.96326386988e+14,136371000.0,55937.52313
ANAHEIMCAWDC,6.73220326693,6.73220326693,7.28040136151,7.07618773231,1.42678848565e+13,5.3504568212e+14,243381000.0,52699.138719
ANAHEIM1WDC,1.24530342877,1.24530342877,0.607784481382,1.07795732929,2.63923194661e+12,9.8971197998e+13,20318000.0,8027.97
ANAHEIM2WDC,1.25791236032,1.25791236032,0.600964181069,1.07259974855,2.66595466669e+12,9.9973300001e+13,20090000.0,7988.07
UNKNOWNWDC,0.696899436898,0.696899436898,2.31926106952,0.711876216403,1.47697277221e+12,5.53864789579e+13,77532000.0,5301.620717
HOUSTON2TXWDC,0.474164843507,0.474164843507,0.351694170076,0.485660747567,1.0049205471e+12,3.76845205161e+13,11757000.0,3616.90561
UNKNOWNWDC1,0.432743304733,0.432743304733,0.111039275268,0.479839914278,9.17133871269e+11,3.43925201726e+13,3712000.0,3573.555587
FTWORTH1TXWDC,0.361607836734,0.361607836734,0.0953495931885,0.354490689889,7.66373024279e+11,2.87389884105e+13,3187500.0,2640.030868
KANSASCITYMOWDC,0.0596484190663,0.0596484190663,0.320688725891,0.0546169651137,1.26415787131e+11,4.7405920174e+12,10720500.0,406.753909
ATLANTAWDC,0.0195564756778,0.0195564756778,0.297670212335,0.0242103084884,41446987280.0,1.554262023e+12,9951000.0,180.30364
BURBANK2WDC,0.0192637811501,0.0192637811501,0.243795822584,0.0221822641089,40826665573.3,1.530999959e+12,8150000.0,165.2
CHICAGOILWDC,0.0107523354003,0.0107523354003,0.0218967536358,0.0131962995472,22787945840.0,8.54547969e+11,732000.0,98.278006
PHOENIXWDC,0.00561556228206,0.00561556228206,0.091759961445,0.00860972623889,11901333466.7,4.46300005e+11,3067500.0,64.12
FAIRFAXSCWDC,0.00658240040248,0.00658240040248,0.000418790370083,0.00351921888639,13950400381.3,5.231400143e+11,14000.0,26.209
NASHVILLEWDC,0.00510848826241,0.00510848826241,0.0326058216707,0.00503532024264,10826666906.7,4.06000009e+11,1090000.0,37.5
HOUSTONWDC,0.00533295966072,0.00533295966072,0.037362083731,0.00419260904683,11302400026.7,4.23840001e+11,1249000.0,31.224
ORLANDO2FLWDC,0.00391113905489,0.00391113905489,0.000747839946577,0.00207056396634,8289066666.67,3.1084e+11,25000.0,15.4203
PHOENIX1AZWDC,0.00399242186821,0.00399242186821,0.00338023655853,0.00298869754562,8461333274.67,3.172999978e+11,113000.0,22.258
AKRONOHWDC,0.00265577210916,0.00265577210916,0.00172003187713,0.00149566198433,5628506620.53,2.1106899827e+11,57500.0,11.13878
ORLANDOFLWDC,0.0025756342959,0.0025756342959,0.000493574364741,0.00128098546973,5458666666.67,2.047e+11,16500.0,9.54
ELKRIDGEMDWDC,0.00195403448967,0.00195403448967,0.00170507507819,0.00122353609119,4141280053.33,1.55298002e+11,57000.0,9.112152
MIAMI2FLWDC,0.00252468153211,0.00252468153211,0.000702969549782,0.00100320900735,5350680003.47,2.0065050013e+11,23500.0,7.47129
HARRISONNJWDC,0.00357984225783,0.00357984225783,0.000613228756193,0.000804845587584,7586933298.67,2.845099987e+11,20500.0,5.994
OMAHA1NEWDC,0.00073733353635,0.00073733353635,0.000553401560467,0.000390740850829,1562666720.0,58600002000.0,18500.0,2.91
PEARLCITYHIWDC,0.000208869226183,0.000208869226183,0.000493574364741,0.000304804718688,442666680.0,16600000500.0,16500.0,2.27
LENEXA3KSWDC,0.0002690134993,0.0002690134993,0.0013760255017,0.0002780839526,570133354.667,21380000800.0,46000.0,2.071
WASHINGTONDCWDC,0.000371938191139,0.000371938191139,0.000523487962604,0.000137460482918,788266645.333,29559999200.0,17500.0,1.023722
SPRINGFIELD2WDC,0.00034937780896,0.00034937780896,0.000448703967946,7.76110693399e-05,740453333.333,27767000000.0,15000.0,0.578
HOUSTON1TXWDC,9.62559946559e-05,9.62559946559e-05,0.000284179179699,5.12931288717e-05,203999997.333,7649999900.0,9500.0,0.382
STOCKTONCAWDC,0.000180005002343,0.000180005002343,0.000717926348714,9.01443171119e-05,381493330.667,14305999900.0,24000.0,0.67134
PHOENIX2AZWDC,0.000229001199185,0.000229001199185,0.000149567989315,6.48549247252e-05,485333346.667,18200000500.0,5000.0,0.483
