vrfid,AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalByteBuffer,AGGR_totalflowbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
9,3.9933272369,4.00618669364,3.98024377842,4.00649711819,2750196840.0,55611.5,1375104970.0,1375091870.0
2,0.0822531249019,0.0826645429623,0.0955868688637,0.0688313048678,56647570.0,1147.5,33023600.0,23623970.0
1,0.010095134723,0.0099413568007,0.00954982971093,0.0106440417484,6952500.0,138.0,3299300.0,3653200.0
16,0.0168232933583,0.0169291220881,0.0173604980295,0.0162825401806,11586170.0,235.0,5997750.0,5588420.0
19,0.00144010853912,0.00151281516532,0.00143538343093,0.00144486485904,991800.0,21.0,495900.0,495900.0
9,6.15287113869,6.09037773914,6.13268308961,6.17319253997,4237470600.0,84543.0,2118735300.0,2118735300.0
2,0.131065994428,0.127112493296,0.156597466757,0.105365873907,90264900.0,1764.5,54101700.0,36163200.0
16,0.0252768234119,0.0244571785061,0.0259182372566,0.0246311727068,17408100.0,339.5,8954300.0,8453800.0
1,0.0146874227616,0.0144077634793,0.0140137303505,0.0153655652492,10115200.0,200.0,4841500.0,5273700.0
19,0.00182489253072,0.0020170868871,0.0018189049163,0.00183091969635,1256800.0,28.0,628400.0,628400.0
9,6.25097276116,6.11537520878,6.23030363542,6.27177841684,4305033000.0,84890.0,2152461500.0,2152571500.0
2,0.125784289637,0.126356085713,0.14239414654,0.109064716291,86627400.0,1754.0,49194700.0,37432700.0
16,0.0282402409533,0.027086595341,0.028755717348,0.0277213595782,19449000.0,376.0,9934600.0,9514400.0
1,0.0154308544737,0.0158485398272,0.0138747942653,0.0169971932409,10627200.0,220.0,4793500.0,5833700.0
19,0.00197067484301,0.0020170868871,0.00196420890548,0.00197718349131,1357200.0,28.0,678600.0,678600.0
9,7.30696668763,7.0277468311,7.28299196123,7.33109977913,5032294000.0,97555.0,2516147000.0,2516147000.0
16,0.0221054773136,0.01826184021,0.0223339757068,0.0218754695738,15224000.0,253.5,7716000.0,7508000.0
2,0.135073701202,0.128769386096,0.155411589379,0.114601471064,93025000.0,1787.5,53692000.0,39333000.0
1,0.0129606864491,0.0126428124531,0.0155174240234,0.0103870603397,8926000.0,175.5,5361000.0,3565000.0
19,0.000615654386559,0.000936504626153,0.0006136343766,0.000617687739697,424000.0,13.0,212000.0,212000.0
9,6.76707234857,6.68440982739,6.74486905752,6.78942230351,4660469800.0,92789.0,2330234900.0,2330234900.0
2,0.130180410441,0.131939094061,0.160211252225,0.0999511998715,89655000.0,1831.5,55350200.0,34304800.0
16,0.0244388655193,0.0240249456017,0.024985339334,0.0238887819706,16831000.0,333.5,8632000.0,8199000.0
1,0.0264136060045,0.0242410620539,0.0265859988164,0.0262400744515,18191000.0,336.5,9185000.0,9006000.0
19,0.00434733309754,0.00439436786118,0.0043330691593,0.00436169125626,2994000.0,61.0,1497000.0,1497000.0
9,4.04964851988,6.43580386856,4.0363613079,4.06302350056,2788985200.0,89338.0,1394492600.0,1394492600.0
