Destination Sites,Uplink Peak Bitrate(%),Uplink Peak Tonnage(%),Uplink Peak Flows(%),Uplink WAN Cost Percentage(%),Uplink Peak Bitrate,Uplink Peak Tonnage,Uplink Peak Flows,Uplink WAN Cost($)
ORLANDO1FLWDC,26.438364,26.438374,1.6638223,26.99998,3.30666675E9,1.24000002E11,413000.0,11.8
MIAMI1FLWDC,22.81375,22.813757,2.8361526,24.711847,2.85333325E9,1.06999996E11,704000.0,10.8
NASHVILLE2TNWDC,7.931509,7.931512,1.6839656,8.946604,9.92E8,3.7199999E10,418000.0,3.91
UNKNOWNWDC1,6.716197,6.7162,47.940647,6.475419,8.4E8,3.14999992E10,1.19E7,2.83
WASHINGTONDCWDC,5.4369216,5.4369235,2.2842307,5.720335,6.8E8,2.55000003E10,567000.0,2.5
HOUSTON2TXWDC,3.4114017,3.411403,0.9990992,3.638133,4.26666656E8,1.6E10,248000.0,1.59
ORLANDO2FLWDC,3.1555467,3.1555479,1.3173606,2.699998,3.94666656E8,1.48E10,327000.0,1.18
AKRONOHWDC,2.942334,2.9423351,2.807952,2.3796592,3.68E8,1.37999995E10,697000.0,1.04
CHICAGOILWDC,2.515909,2.51591,2.5984635,1.9906765,3.14666688E8,1.18000005E10,645000.0,0.87
STOCKTONCAWDC,2.281375,2.281376,1.6074216,2.0455918,2.85333344E8,1.07000003E10,399000.0,0.894
KANSASCITYMOWDC,2.0830874,2.0830882,3.9802818,2.2446594,2.60533344E8,9.7700004E9,988000.0,0.981
ST.PAULMNWDC,1.7120974,1.712098,1.4382194,1.5627956,2.14133344E8,8.0300001E9,357000.0,0.683
MIAMI2FLWDC,1.6630584,1.663059,1.1481583,1.7183886,2.08E8,7.8E9,285000.0,0.751
TACOMAWAWDC,1.607623,1.6076237,0.91449803,1.0983043,2.01066656E8,7.5399997E9,227000.0,0.48
OMAHA1NEWDC,1.5138096,1.5138102,1.0716145,1.6291513,1.89333344E8,7.1000003E9,266000.0,0.712
SEATTLEWAWDC,1.2067835,1.2067839,1.0716145,1.1394907,1.50933344E8,5.6600003E9,266000.0,0.498
FTWORTH1TXWDC,1.0298169,1.0298173,5.3580723,0.86262655,1.288E8,4.8300001E9,1330000.0,0.377
SANJOSECAWDC,0.8272649,0.82726526,1.2287308,0.7596605,1.03466664E8,3.88E9,305000.0,0.332
HARRISONNJWDC,0.58846676,0.588467,2.9086678,0.5857623,7.36E7,2.76E9,722000.0,0.256
TACOMASAEGW02WDC,0.5863347,0.58633494,0.5478931,0.37983024,7.3333336E7,2.75000013E9,136000.0,0.166
UNKNOWNWDC,0.5500885,0.55008876,5.1566405,0.48508438,6.88E7,2.58E9,1280000.0,0.212
ELKRIDGEMDWDC,0.5138424,0.5138426,2.3648033,0.41186413,6.4266664E7,2.40999987E9,587000.0,0.18
BUFFALONYWDC,0.43708584,0.43708602,0.47940645,0.19472021,5.4666668E7,2.05E9,119000.0,0.0851
ENGLEWOODCOWDC,0.4328216,0.43282178,0.35854766,0.34779635,5.4133332E7,2.03E9,89000.0,0.152
CHEYENNEWYWDC,0.43068948,0.43068966,0.8862976,0.21737272,5.3866668E7,2.02E9,220000.0,0.095
BAYAMONPRWDC,0.35606503,0.3560652,1.0313282,0.1830507,4.4533332E7,1.67E9,256000.0,0.08
HOUSTON1TXWDC,0.32408318,0.32408327,0.8419828,0.2494066,4.0533332E7,1.52E9,209000.0,0.109
SPRINGFIELDMAWDC,0.13325788,0.13325793,0.6042939,0.080313504,1.6666667E7,6.25E8,150000.0,0.0351
ORLANDOFLWDC,0.080381155,0.080381185,1.7564809,0.07962706,1.0053333E7,3.77E8,436000.0,0.0348
MANHATTANNYWDC,0.07803582,0.07803585,0.20948854,0.016383039,9760000.0,3.66E8,52000.0,0.00716
ANAHEIMCAWDC,0.054795645,0.05479566,0.17725953,0.026313541,6853333.5,2.57E8,44000.0,0.0115
FAIRFAXSCWDC,0.043068945,0.043068964,0.044314884,0.041872855,5386666.5,2.02E8,11000.0,0.0183
ATLANTAWDC,0.026864788,0.0268648,7.0903805E-4,0.023567779,3360000.0,1.26E8,176.0,0.0103
BURBANKCAWDC,0.023026962,0.023026971,0.4914923,0.020044053,2880000.0,1.08E8,122000.0,0.00876
FAIRFAXWDC,0.010639309,0.010639314,1.1683014E-4,0.008740672,1330666.6,4.99E7,29.0,0.00382
PHOENIX1AZWDC,0.008720395,0.008720399,0.11280152,0.003317794,1090666.6,4.09E7,28000.0,0.00145
LENEXA3KSWDC,0.008571147,0.00857115,0.008097538,0.008740672,1072000.0,4.02E7,2010.0,0.00382
ELKRIDGEAWDC,0.0024306236,0.0024306246,4.8343507E-5,0.001281355,304000.0,1.14E7,12.0,5.6E-4
