transitsite,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
HOMEWOODALSATSITE;2,0.0567447413096,0.0567447413096,7.97679591093e-05,0.0570059086054,1368222.22222,615700000.0,35.0,0.0114
HOMEWOODALSATSITE;2,0.0291732668737,0.0291732668737,6.83725363794e-05,0.0293030372305,703422.222222,316540000.0,30.0,0.00586
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0155073415182,0.0155073415182,6.72329941064e-05,0.015601617092,373911.111111,168260000.0,29.5,0.00312
HOMEWOODALSATSITE;2,0.0462934603862,0.0462934603862,6.95120786524e-05,0.0465048201781,1116222.22222,502300000.0,30.5,0.0093
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0285336558542,0.0285336558542,6.72329941064e-05,0.0286529698517,688000.0,309600000.0,29.5,0.00573
HOMEWOODALSATSITE;2,0.000110319076413,0.000110319076413,1.02558804569e-05,0.000111011506232,2660.0,1197000.0,4.5,2.22e-05
HOMEWOODALSATSITE;2,0.00910293665607,0.00910293665607,6.72329941064e-05,0.00915094848666,219488.888889,98770000.0,29.5,0.00183
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0285797373398,0.0285797373398,6.60934518334e-05,0.0287029750347,689111.111111,310100000.0,29.0,0.00574
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0232527176099,0.0232527176099,6.72329941064e-05,0.023352420455,560666.666667,252300000.0,29.5,0.00467
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0134106339255,0.0134106339255,6.60934518334e-05,0.0134513942236,323355.555556,145510000.0,29.0,0.00269
HOMEWOODALSATSITE;2,0.00898588968277,0.00898588968277,6.72329941064e-05,0.0090009329377,216666.666667,97500000.0,29.5,0.0018
HOMEWOODALSATSITE;2,0.0152280877157,0.0152280877157,6.83725363794e-05,0.0153015859941,367177.777778,165230000.0,30.0,0.00306
HOMEWOODALSATSITE;2,0.0111406599472,0.0111406599472,6.72329941064e-05,0.0112011609891,268622.222222,120880000.0,29.5,0.00224
HOMEWOODALSATSITE;2,0.0228932820226,0.0228932820226,6.72329941064e-05,0.0230023841741,552000.0,248400000.0,29.5,0.0046
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0154925954428,0.0154925954428,6.60934518334e-05,0.015551611909,373555.555556,168100000.0,29.0,0.00311
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0270682646136,0.0270682646136,0.000119651938664,0.027202819545,652666.666667,293700000.0,52.5,0.00544
HOMEWOODALSATSITE;2,0.0318146576256,0.0318146576256,6.83725363794e-05,0.0320033171118,767111.111111,345200000.0,30.0,0.0064
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0187680674359,0.0187680674359,6.49539095604e-05,0.0188519539862,452533.333333,203640000.0,28.5,0.00377
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0146354798115,0.0146354798115,6.83725363794e-05,0.0147015237982,352888.888889,158800000.0,30.0,0.00294
HOMEWOODALSATSITE;2,0.00895271101317,0.00895271101317,6.38143672874e-05,0.0090009329377,215866.666667,97140000.0,28.0,0.0018
HOMEWOODALSATSITE;2,0.00657951450721,0.00657951450721,6.95120786524e-05,0.00660068415431,158644.444444,71390000.0,30.5,0.00132
HOMEWOODALSATSITE;2,0.0224416834641,0.0224416834641,6.95120786524e-05,0.0225523375272,541111.111111,243500000.0,30.5,0.00451
HOMEWOODALSATSITE;2,0.00843659837498,0.00843659837498,7.29307054714e-05,0.00850088110783,203422.222222,91540000.0,32.0,0.0017
HOMEWOODALSATSITE;2,0.0239255072989,0.0239255072989,6.83725363794e-05,0.0240524930168,576888.888889,259600000.0,30.0,0.00481
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.017345071162,0.017345071162,6.72329941064e-05,0.0174518088625,418222.222222,188200000.0,29.5,0.00349
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00662190947392,0.00662190947392,6.95120786524e-05,0.0066506893373,159666.666667,71850000.0,30.5,0.00133
HOMEWOODALSATSITE;2,0.043943304623,0.043943304623,7.29307054714e-05,0.0441545765777,1059555.55556,476800000.0,32.0,0.00883
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0128373802453,0.0128373802453,6.72329941064e-05,0.0129013372107,309533.333333,139290000.0,29.5,0.00258
HOMEWOODALSATSITE;2,5.66802272298e-06,5.66802272298e-06,1.13954227299e-06,5.70059086054e-06,136.666666667,61500.0,0.5,1.14e-06
HOMEWOODALSATSITE;2,0.0116346534723,0.0116346534723,7.40702477444e-05,0.011701212819,280533.333333,126240000.0,32.5,0.00234
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0086218459469,0.0086218459469,6.83725363794e-05,0.00865089665679,207888.888889,93550000.0,30.0,0.00173
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00885870478264,0.00885870478264,6.83725363794e-05,0.00890092257172,213600.0,96120000.0,30.0,0.00178
HOMEWOODALSATSITE;2,0.0388098271325,0.0388098271325,7.52097900173e-05,0.03900404273,935777.777778,421100000.0,33.0,0.0078
HOMEWOODALSATSITE;2,0.0181284564164,0.0181284564164,6.83725363794e-05,0.0182018866073,437111.111111,196700000.0,30.0,0.00364
HOMEWOODALSATSITE;2,0.0139138437478,0.0139138437478,6.95120786524e-05,0.0140014512364,335488.888889,150970000.0,30.5,0.0028
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0121609040373,0.0121609040373,6.95120786524e-05,0.0122012646489,293222.222222,131950000.0,30.5,0.00244
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,4.05517072863e-06,4.05517072863e-06,1.13954227299e-06,4.07542241346e-06,97.7777777778,44000.0,0.5,8.15e-07
HOMEWOODALSATSITE;2,0.00692328238943,0.00692328238943,6.60934518334e-05,0.00695072043522,166933.333333,75120000.0,29.0,0.00139
HOMEWOODALSATSITE;2,0.0160299055643,0.0160299055643,6.83725363794e-05,0.0161016689219,386511.111111,173930000.0,30.0,0.00322
HOMEWOODALSATSITE;2,0.0149027524277,0.0149027524277,6.83725363794e-05,0.0150015548962,359333.333333,161700000.0,30.0,0.003
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0127000574183,0.0127000574183,6.49539095604e-05,0.0127513216617,306222.222222,137800000.0,28.5,0.00255
HOMEWOODALSATSITE;2,0.00646523242304,0.00646523242304,6.60934518334e-05,0.00650067378834,155888.888889,70150000.0,29.0,0.0013
HOMEWOODALSATSITE;2,0.00434179756877,0.00434179756877,6.72329941064e-05,0.00436045195648,104688.888889,47110000.0,29.5,0.000872
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0104088859566,0.0104088859566,6.49539095604e-05,0.0104510832443,250977.777778,112940000.0,28.5,0.00209
HOMEWOODALSATSITE;2,0.00403941086058,0.00403941086058,6.83725363794e-05,0.00406042085856,97397.7777778,43829000.0,30.0,0.000812
HOMEWOODALSATSITE;2,0.00456391032914,0.00456391032914,6.72329941064e-05,0.00458547527993,110044.444444,49520000.0,29.5,0.000917
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00927435978233,0.00927435978233,6.49539095604e-05,0.00930096403562,223622.222222,100630000.0,28.5,0.00186
HOMEWOODALSATSITE;2,0.00974346930526,0.00974346930526,6.60934518334e-05,0.00980101586549,234933.333333,105720000.0,29.0,0.00196
HOMEWOODALSATSITE;2,0.00920800244313,0.00920800244313,6.83725363794e-05,0.00925095885263,222022.222222,99910000.0,30.0,0.00185
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00257291366435,0.00257291366435,6.95120786524e-05,0.00258526796044,62037.7777778,27917000.0,30.5,0.000517
HOMEWOODALSATSITE;2,0.0225614953266,0.0225614953266,6.60934518334e-05,0.0226523478932,544000.0,244800000.0,29.0,0.00453
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00304377428372,0.00304377428372,6.72329941064e-05,0.00306031719882,73391.1111111,33026000.0,29.5,0.000612
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0043694464601,0.0043694464601,6.49539095604e-05,0.00439045506628,105355.555556,47410000.0,28.5,0.000878
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSWELLGASATSITE;2,0.0748547651317,0.0748547651317,0.000201698982319,0.0750077744808,1804888.88889,812200000.0,88.5,0.015
HOMEWOODALSATSITE;2,0.0007454141103,0.0007454141103,4.55816909196e-05,0.000750077744808,17973.3333333,8088000.0,20.0,0.00015
NORCROSSGASATSITE;2,0.0541918270099,0.0541918270099,0.000205117609138,0.0545056494561,1306666.66667,588000000.0,90.0,0.0109
ROSWELLGASATSITE;2,0.00855364534829,0.00855364534829,0.000210815320503,0.0086008914738,206244.444444,92810000.0,92.5,0.00172
ROSWELLGASATSITE;2,0.0859143216644,0.0859143216644,0.000205117609138,0.0865089665679,2071555.55556,932200000.0,90.0,0.0173
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORCROSSGASATSITE;2,0.0996834695475,0.0996834695475,0.000206257151411,0.100010365974,2403555.55556,1081600000.0,90.5,0.02
ROSWELLGASATSITE;2,0.0781541994973,0.0781541994973,0.000199419897773,0.0785081372899,1884444.44444,848000000.0,87.5,0.0157
