transitsite,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
HOMEWOODALSATSITE;2,0.687636947741,0.687636947741,1.2481507852,0.692978524988,0.737790572104,0.0567447413096,225146001.778,101315700800.0,15020035.0,1.8714,100700000800.0,615700000.0
HOMEWOODALSATSITE;2,0.288196314154,0.288196314154,0.307053518572,0.291003582156,0.308787699627,0.0291732668737,94361200.4444,42462540200.0,3695030.0,0.78586,42146000200.0,316540000.0
HOMEWOODALSATSITE;2,0.396093518689,0.396093518689,0.372865480885,0.399923483481,0.427581505617,0.0,129688889.4,58360000230.0,4487000.0,1.08,58360000230.0,0.0
HOMEWOODALSATSITE;2,0.497073327105,0.497073327105,0.553442189041,0.501059688859,0.535356062731,0.0155073415182,162751685.4,73238258430.0,6660029.5,1.35312,73069998430.0,168260000.0
HOMEWOODALSATSITE;2,0.550854363524,0.550854363524,0.686650064843,0.555190072948,0.590965111044,0.0462934603862,180360665.489,81162299470.0,8263030.5,1.4993,80659999470.0,502300000.0
HOMEWOODALSATSITE;2,0.493148648269,0.493148648269,0.771408571218,0.499904354352,0.53235216324,0.0,161466667.556,72660000400.0,9283000.0,1.35,72660000400.0,0.0
HOMEWOODALSATSITE;2,0.479370887796,0.479370887796,0.304641152869,0.485092373482,0.517479121171,0.0,156955554.978,70629999740.0,3666000.0,1.31,70629999740.0,0.0
HOMEWOODALSATSITE;2,0.552739141744,0.552739141744,1.13264018374,0.55915227783,0.59667988313,0.0,180977779.333,81440000700.0,13630000.0,1.51,81440000700.0,0.0
HOMEWOODALSATSITE;2,0.479167283036,0.479167283036,0.733681598113,0.485092373482,0.517259330577,0.0,156888890.733,70600000830.0,8829000.0,1.31,70600000830.0,0.0
HOMEWOODALSATSITE;2,0.428264231639,0.428264231639,0.301898883899,0.433250440438,0.462309672655,0.0,140222220.133,63099999060.0,3633000.0,1.17,63099999060.0,0.0
HOMEWOODALSATSITE;2,0.431250550341,0.431250550341,0.62000208444,0.436953435655,0.465533392779,0.0,141200000.222,63540000100.0,7461000.0,1.18,63540000100.0,0.0
HOMEWOODALSATSITE;2,0.328084345008,0.328084345008,0.467517761308,0.33168839061,0.351897529872,0.0285336558542,107421334.422,48339600490.0,5626029.5,0.89573,48030000490.0,309600000.0
HOMEWOODALSATSITE;2,0.349881684818,0.349881684818,0.833567041821,0.353644263913,0.377687229904,0.000110319076413,114558216.644,51551197490.0,10031004.5,0.9550222,51550000490.0,1197000.0
HOMEWOODALSATSITE;2,0.2463623632,0.2463623632,0.37203694171,0.248778327692,0.265223620375,0.00910293665607,80663933.5556,36298770100.0,4477029.5,0.67183,36200000100.0,98770000.0
HOMEWOODALSATSITE;2,0.451951112497,0.451951112497,0.2458070186,0.455468411743,0.48787957396,0.0,147977775.644,66589999040.0,2958000.0,1.23,66589999040.0,0.0
HOMEWOODALSATSITE;2,0.418695142811,0.418695142811,0.471838870863,0.424266974041,0.449707891589,0.0285797373398,137089110.289,61690099630.0,5678029.0,1.14574,61379999630.0,310100000.0
HOMEWOODALSATSITE;2,0.321842948582,0.321842948582,0.586263866201,0.325122980089,0.347428286588,0.0,105377777.2,47419999740.0,7055000.0,0.878,47419999740.0,0.0
HOMEWOODALSATSITE;2,0.254598681978,0.254598681978,0.478071341891,0.257235968768,0.272989840525,0.0232527176099,83360668.0,37512300600.0,5753029.5,0.69467,37260000600.0,252300000.0
HOMEWOODALSATSITE;2,0.268700172953,0.268700172953,0.239159093824,0.271429549437,0.290060854545,0.0,87977776.3778,39589999370.0,2878000.0,0.733,39589999370.0,0.0
HOMEWOODALSATSITE;2,0.305794989586,0.305794989586,0.518208146177,0.309085307803,0.329038477132,0.0134106339255,100123356.511,45055510430.0,6236029.0,0.83469,44910000430.0,145510000.0
HOMEWOODALSATSITE;2,0.301668377713,0.301668377713,0.435773920502,0.304682446489,0.324935565693,0.00898588968277,98772221.7778,44447499800.0,5244029.5,0.8228,44349999800.0,97500000.0
HOMEWOODALSATSITE;2,0.374749734462,0.374749734462,0.556932391098,0.378468329192,0.403330391248,0.0152280877157,122700510.289,55215229630.0,6702030.0,1.02206,55049999630.0,165230000.0
HOMEWOODALSATSITE;2,0.282755389401,0.282755389401,0.387327168696,0.285589803148,0.304347767582,0.0111406599472,92579733.5556,41660880100.0,4661029.5,0.77124,41540000100.0,120880000.0
HOMEWOODALSATSITE;2,0.319049395414,0.319049395414,0.542140716921,0.322382763628,0.342592723913,0.0228932820226,104463112.378,47008400570.0,6524029.5,0.8706,46760000570.0,248400000.0
HOMEWOODALSATSITE;2,0.203727534841,0.203727534841,0.331731446332,0.205886534088,0.219923129192,0.0,66704443.4889,30016999570.0,3992000.0,0.556,30016999570.0,0.0
HOMEWOODALSATSITE;2,0.16537379279,0.16537379279,0.310541186108,0.167005084306,0.17852040484,0.0,54146666.1556,24365999770.0,3737000.0,0.451,24365999770.0,0.0
