transitsite,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,uplinkcostbuffer
HOMEWOODALSATSITE;2,0.737790572104,0.737790572104,1.29537947984,0.743840129381,223777779.556,100700000800.0,15020000.0,1.86
HOMEWOODALSATSITE;2,0.308787699627,0.308787699627,0.318670251532,0.311932957482,93657778.2222,42146000200.0,3695000.0,0.78
HOMEWOODALSATSITE;2,0.427581505617,0.427581505617,0.386975214784,0.431907171898,129688889.4,58360000230.0,4487000.0,1.08
HOMEWOODALSATSITE;2,0.535356062731,0.535356062731,0.574382645523,0.539883964873,162377774.289,73069998430.0,6660000.0,1.35
HOMEWOODALSATSITE;2,0.590965111044,0.590965111044,0.712631201194,0.595871931601,179244443.267,80659999470.0,8263000.0,1.49
HOMEWOODALSATSITE;2,0.53235216324,0.53235216324,0.800599714473,0.539883964873,161466667.556,72660000400.0,9283000.0,1.35
HOMEWOODALSATSITE;2,0.517479121171,0.517479121171,0.316169185959,0.523887402951,156955554.978,70629999740.0,3666000.0,1.31
HOMEWOODALSATSITE;2,0.59667988313,0.59667988313,1.17550081959,0.603870212562,180977779.333,81440000700.0,13630000.0,1.51
HOMEWOODALSATSITE;2,0.517259330577,0.517259330577,0.7614451017,0.523887402951,156888890.733,70600000830.0,8829000.0,1.31
HOMEWOODALSATSITE;2,0.462309672655,0.462309672655,0.313323145823,0.467899436223,140222220.133,63099999060.0,3633000.0,1.17
HOMEWOODALSATSITE;2,0.465533392779,0.465533392779,0.643463801538,0.471898576704,141200000.222,63540000100.0,7461000.0,1.18
HOMEWOODALSATSITE;2,0.351897529872,0.351897529872,0.485206721278,0.355923502768,106733334.422,48030000490.0,5626000.0,0.89
HOMEWOODALSATSITE;2,0.377687229904,0.377687229904,0.865109957543,0.381917915892,114555556.644,51550000490.0,10031000.0,0.955
HOMEWOODALSATSITE;2,0.265223620375,0.265223620375,0.386112778379,0.267942412196,80444444.6667,36200000100.0,4477000.0,0.67
HOMEWOODALSATSITE;2,0.48787957396,0.48787957396,0.255108688507,0.491894279107,147977775.644,66589999040.0,2958000.0,1.23
HOMEWOODALSATSITE;2,0.449707891589,0.449707891589,0.489691390582,0.455902014782,136399999.178,61379999630.0,5678000.0,1.14
HOMEWOODALSATSITE;2,0.347428286588,0.347428286588,0.608448883508,0.351124534192,105377777.2,47419999740.0,7055000.0,0.878
HOMEWOODALSATSITE;2,0.272989840525,0.272989840525,0.496159663617,0.275940693157,82800001.3333,37260000600.0,5753000.0,0.69
HOMEWOODALSATSITE;2,0.290060854545,0.290060854545,0.248209197269,0.293136997224,87977776.3778,39589999370.0,2878000.0,0.733
HOMEWOODALSATSITE;2,0.329038477132,0.329038477132,0.537815341964,0.332728487981,99800000.9556,44910000430.0,6236000.0,0.832
HOMEWOODALSATSITE;2,0.324935565693,0.324935565693,0.452261650619,0.328329433452,98555555.1111,44349999800.0,5244000.0,0.821
HOMEWOODALSATSITE;2,0.403330391248,0.403330391248,0.578004878422,0.407512414967,122333332.511,55049999630.0,6702000.0,1.019
HOMEWOODALSATSITE;2,0.304347767582,0.304347767582,0.401981608225,0.307533902954,92311111.3333,41540000100.0,4661000.0,0.769
HOMEWOODALSATSITE;2,0.342592723913,0.342592723913,0.562653510419,0.346325565615,103911112.378,46760000570.0,6524000.0,0.866
HOMEWOODALSATSITE;2,0.219923129192,0.219923129192,0.344284612752,0.222352210718,66704443.4889,30016999570.0,3992000.0,0.556
HOMEWOODALSATSITE;2,0.17852040484,0.17852040484,0.322292484432,0.180361235672,54146666.1556,24365999770.0,3737000.0,0.451
HOMEWOODALSATSITE;2,0.362228058141,0.362228058141,0.608017665306,0.366321268018,109866666.244,49439999810.0,7050000.0,0.916
HOMEWOODALSATSITE;2,0.217893662672,0.217893662672,0.341179841695,0.220352640478,66088890.0667,29740000530.0,3956000.0,0.551
HOMEWOODALSATSITE;2,0.305886356175,0.305886356175,0.634839437491,0.309133559146,92777777.5556,41749999900.0,7361000.0,0.773
HOMEWOODALSATSITE;2,0.338929408095,0.338929408095,0.596461017483,0.342726339182,102799999.4,46259999730.0,6916000.0,0.857
HOMEWOODALSATSITE;2,0.252255504459,0.252255504459,0.1655877897,0.255145162659,76511111.4222,34430000140.0,1920000.0,0.638
HOMEWOODALSATSITE;2,0.253427762526,0.253427762526,0.408191150339,0.255944990755,76866666.6667,34590000000.0,4733000.0,0.64
HOMEWOODALSATSITE;2,0.26998592052,0.26998592052,0.393012269617,0.272741380773,81888888.3778,36849999770.0,4557000.0,0.682
HOMEWOODALSATSITE;2,0.178901391902,0.178901391902,0.262698128868,0.18076114972,54262222.5778,24418000160.0,3046000.0,0.452
HOMEWOODALSATSITE;2,0.181238578705,0.181238578705,0.196980474831,0.183160634009,54971110.0222,24736999510.0,2284000.0,0.458
HOMEWOODALSATSITE;2,0.177202347488,0.177202347488,0.128158049737,0.179161493528,53746888.8222,24186099970.0,1486000.0,0.448
HOMEWOODALSATSITE;2,0.259728653022,0.259728653022,0.646913547157,0.262343615524,78777777.1333,35449999710.0,7501000.0,0.656
HOMEWOODALSATSITE;2,0.1981484219,0.1981484219,0.284948988109,0.200356938075,60100000.6667,27045000300.0,3304000.0,0.501
HOMEWOODALSATSITE;2,0.265589955664,0.265589955664,0.386630240222,0.268342326244,80555557.0889,36250000690.0,4483000.0,0.671
HOMEWOODALSATSITE;2,0.300904256938,0.300904256938,0.654502987518,0.304334590569,91266667.0222,41070000160.0,7589000.0,0.761
HOMEWOODALSATSITE;2,0.0946892289165,0.0946892289165,0.135575002817,0.095979371533,28720000.2222,12924000100.0,1572000.0,0.24
HOMEWOODALSATSITE;2,0.191363971158,0.191363971158,0.367397908397,0.193558399258,58042222.5111,26119000130.0,4260000.0,0.484
HOMEWOODALSATSITE;2,0.206317596442,0.206317596442,0.606810254339,0.208755133084,62577776.6222,28159999480.0,7036000.0,0.522
HOMEWOODALSATSITE;2,0.131080545429,0.131080545429,0.123932111354,0.132771463954,39757777.4889,17890999870.0,1437000.0,0.332
HOMEWOODALSATSITE;2,0.304347770659,0.304347770659,1.70244946286,0.307933817002,92311112.2667,41540000520.0,19740000.0,0.77
HOMEWOODALSATSITE;2,0.236063673768,0.236063673768,0.638806644953,0.23834877264,71599999.7111,32219999870.0,7407000.0,0.596
HOMEWOODALSATSITE;2,0.2547465521,0.2547465521,0.770586927589,0.257544646947,77266666.0889,34769999740.0,8935000.0,0.644
HOMEWOODALSATSITE;2,0.251229776727,0.251229776727,0.284690257188,0.253945420514,76200000.0,34290000000.0,3301000.0,0.635
HOMEWOODALSATSITE;2,0.298413206147,0.298413206147,1.42905712257,0.301935106281,90511111.4,40730000130.0,16570000.0,0.755
HOMEWOODALSATSITE;2,0.207489859344,0.207489859344,0.373089988668,0.20955496118,62933333.3333,28320000000.0,4326000.0,0.524
HOMEWOODALSATSITE;2,0.147975731503,0.147975731503,0.181629106827,0.149567853972,44882222.5111,20197000130.0,2106000.0,0.374
HOMEWOODALSATSITE;2,0.194177392027,0.194177392027,0.193789460134,0.196357797595,58895555.5556,26503000000.0,2247000.0,0.491
HOMEWOODALSATSITE;2,0.16147868997,0.16147868997,0.301852741641,0.163164931606,48977777.7778,22040000000.0,3500000.0,0.408
HOMEWOODALSATSITE;2,0.131241732007,0.131241732007,0.242430873358,0.132771463954,39806666.6667,17913000000.0,2811000.0,0.332
HOMEWOODALSATSITE;2,0.291526182074,0.291526182074,1.20887710845,0.294736653416,88422221.9333,39789999870.0,14017000.0,0.737
HOMEWOODALSATSITE;2,0.214303613414,0.214303613414,0.397065720719,0.216353499997,64999999.4222,29249999740.0,4604000.0,0.541
HOMEWOODALSATSITE;2,0.161984225751,0.161984225751,0.235962600323,0.163564845654,49131110.8222,22108999870.0,2736000.0,0.409
HOMEWOODALSATSITE;2,0.212765024308,0.212765024308,0.246139349898,0.215153757853,64533333.0444,29039999870.0,2854000.0,0.538
HOMEWOODALSATSITE;2,0.182191041855,0.182191041855,0.243293309763,0.183960462105,55259999.7111,24866999870.0,2821000.0,0.46
HOMEWOODALSATSITE;2,0.225315524167,0.225315524167,0.286501373638,0.227551093343,68340000.0,30753000000.0,3322000.0,0.569
HOMEWOODALSATSITE;2,0.178036846792,0.178036846792,0.118412518364,0.179961321624,53999999.1333,24299999610.0,1373000.0,0.45
HOMEWOODALSATSITE;2,0.11036086883,0.11036086883,0.183095248715,0.111576019407,33473333.9111,15063000260.0,2123000.0,0.279
HOMEWOODALSATSITE;2,0.14612209586,0.14612209586,0.326345935534,0.14796819778,44320000.0,19944000000.0,3784000.0,0.37
HOMEWOODALSATSITE;2,0.162160064615,0.162160064615,0.327035884658,0.163964759702,49184444.1556,22132999870.0,3792000.0,0.41
HOMEWOODALSATSITE;2,0.164475274417,0.164475274417,0.232685341985,0.166364243991,49886665.8,22448999610.0,2698000.0,0.416
