transitsite,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,downlinkcostbuffer
HOMEWOODALSATSITE;2,0.0504689152261,0.0504689152261,4.53203719755e-05,0.0570059086054,2184000.0,81900000.0,4.5,0.0114
HOMEWOODALSATSITE;2,0.0288393801292,0.0288393801292,3.0213581317e-05,0.0293030372305,1248000.0,46800000.0,3.0,0.00586
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0158986326353,0.0158986326353,2.51779844308e-05,0.015601617092,688000.0,25800000.0,2.5,0.00312
HOMEWOODALSATSITE;2,0.0403628076595,0.0403628076595,3.0213581317e-05,0.0465048201781,1746666.66667,65500000.0,3.0,0.0093
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.027668550594,0.027668550594,2.51779844308e-05,0.0286529698517,1197333.33333,44900000.0,2.5,0.00573
HOMEWOODALSATSITE;2,0.000206435733831,0.000206435733831,1.00711937723e-05,0.000111011506232,8933.33333333,335000.0,1.0,2.22e-05
HOMEWOODALSATSITE;2,0.0101677301738,0.0101677301738,3.0213581317e-05,0.00915094848666,440000.0,16500000.0,3.0,0.00183
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0221225159538,0.0221225159538,3.0213581317e-05,0.0287029750347,957333.333333,35900000.0,3.0,0.00574
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0181170464914,0.0181170464914,3.0213581317e-05,0.023352420455,784000.0,29400000.0,3.0,0.00467
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0099212397453,0.0099212397453,2.51779844308e-05,0.0134513942236,429333.333333,16100000.0,2.5,0.00269
HOMEWOODALSATSITE;2,0.00696335460384,0.00696335460384,3.0213581317e-05,0.0090009329377,301333.333333,11300000.0,3.0,0.0018
HOMEWOODALSATSITE;2,0.0121396536014,0.0121396536014,3.0213581317e-05,0.0153015859941,525333.333333,19700000.0,3.0,0.00306
HOMEWOODALSATSITE;2,0.00912014585282,0.00912014585282,3.0213581317e-05,0.0112011609891,394666.666667,14800000.0,3.0,0.00224
HOMEWOODALSATSITE;2,0.0181786690985,0.0181786690985,2.51779844308e-05,0.0230023841741,786666.666667,29500000.0,2.5,0.0046
