transitsite,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
HOMEWOODALSATSITE;2,0.557536420165,0.557536420165,1.14564319558,0.692978524988,0.602615305037,0.0504689152261,295517346.667,11081900500.0,1530004.5,1.8714,11000000500.0,81900000.0
HOMEWOODALSATSITE;2,0.479801571587,0.479801571587,0.277052400364,0.291003582156,0.519892629508,0.0288393801292,254314664.0,9536799900.0,370003.0,0.78586,9489999900.0,46800000.0
HOMEWOODALSATSITE;2,0.470403547255,0.470403547255,0.411082525817,0.399923483481,0.512222964085,0.0,249333322.667,9349999600.0,549000.0,1.08,9349999600.0,0.0
HOMEWOODALSATSITE;2,0.470192237948,0.470192237948,0.500938501781,0.501059688859,0.510579462395,0.0158986326353,249221320.0,9345799500.0,669002.5,1.35312,9319999500.0,25800000.0
HOMEWOODALSATSITE;2,0.464643005293,0.464643005293,0.607266232577,0.555190072948,0.502362003249,0.0403628076595,246279997.333,9235499900.0,811003.0,1.4993,9169999900.0,65500000.0
HOMEWOODALSATSITE;2,0.439211051485,0.439211051485,0.685137543028,0.499904354352,0.478257419535,0.0,232800010.667,8730000400.0,915000.0,1.35,8730000400.0,0.0
HOMEWOODALSATSITE;2,0.410030922051,0.410030922051,0.259828117411,0.485092373482,0.446483143006,0.0,217333336.0,8150000100.0,347000.0,1.31,8150000100.0,0.0
HOMEWOODALSATSITE;2,0.400975014435,0.400975014435,0.99588298604,0.55915227783,0.436622154779,0.0,212533330.667,7969999900.0,1330000.0,1.51,7969999900.0,0.0
HOMEWOODALSATSITE;2,0.398459492368,0.398459492368,0.691876600828,0.485092373482,0.433882999904,0.0,211200000.0,7920000000.0,924000.0,1.31,7920000000.0,0.0
HOMEWOODALSATSITE;2,0.388397383975,0.388397383975,0.274055017211,0.433250440438,0.422926358493,0.0,205866666.667,7720000000.0,366000.0,1.17,7720000000.0,0.0
HOMEWOODALSATSITE;2,0.375819753515,0.375819753515,0.544366113422,0.436953435655,0.409230562206,0.0,199200002.667,7470000100.0,727000.0,1.18,7470000100.0,0.0
HOMEWOODALSATSITE;2,0.371538336456,0.371538336456,0.432050355378,0.33168839061,0.402108756245,0.027668550594,196930674.667,7384900300.0,577002.5,0.89573,7340000300.0,44900000.0
HOMEWOODALSATSITE;2,0.359234108573,0.359234108573,0.764509417015,0.353644263913,0.391152081964,0.000206435733831,190408925.333,7140334700.0,1021001.0,0.9550222,7139999700.0,335000.0
HOMEWOODALSATSITE;2,0.350991496024,0.350991496024,0.381882188368,0.248778327692,0.381291121128,0.0101677301738,186040000.0,6976500000.0,510003.0,0.67183,6960000000.0,16500000.0
HOMEWOODALSATSITE;2,0.348652050791,0.348652050791,0.24260608081,0.455468411743,0.379647619438,0.0,184799997.333,6929999900.0,324000.0,1.23,6929999900.0,0.0
HOMEWOODALSATSITE;2,0.344924029569,0.344924029569,0.396109088169,0.424266974041,0.373621455705,0.0221225159538,182823992.0,6855899700.0,529003.0,1.14574,6819999700.0,35900000.0
HOMEWOODALSATSITE;2,0.335571319942,0.335571319942,0.567578423623,0.325122980089,0.365403996559,0.0,177866669.333,6670000100.0,758000.0,0.878,6670000100.0,0.0
HOMEWOODALSATSITE;2,0.322460402768,0.322460402768,0.464248450371,0.257235968768,0.349516877469,0.0181170464914,170917341.333,6409400300.0,620003.0,0.69467,6380000300.0,29400000.0
HOMEWOODALSATSITE;2,0.314440882254,0.314440882254,0.219393770609,0.271429549437,0.342395038638,0.0,166666664.0,6249999900.0,293000.0,0.733,6249999900.0,0.0
HOMEWOODALSATSITE;2,0.314747781591,0.314747781591,0.47248470218,0.309085307803,0.341847212046,0.0099212397453,166829333.333,6256100000.0,631002.5,0.83469,6240000000.0,16100000.0
HOMEWOODALSATSITE;2,0.306456604276,0.306456604276,0.383379756768,0.304682446489,0.333081898916,0.00696335460384,162434666.667,6091300000.0,512003.0,0.8228,6080000000.0,11300000.0
HOMEWOODALSATSITE;2,0.303860565217,0.303860565217,0.516663344374,0.378468329192,0.329794890058,0.0121396536014,161058658.667,6039699700.0,690003.0,1.02206,6019999700.0,19700000.0
HOMEWOODALSATSITE;2,0.283992952319,0.283992952319,0.327969725966,0.285589803148,0.308429461218,0.00912014585282,150528002.667,5644800100.0,438003.0,0.77124,5630000100.0,14800000.0
HOMEWOODALSATSITE;2,0.274167313535,0.274167313535,0.527894732982,0.322382763628,0.296924998693,0.0181786690985,145320008.0,5449500300.0,705002.5,0.8706,5420000300.0,29500000.0
HOMEWOODALSATSITE;2,0.270670700682,0.270670700682,0.342194379414,0.205886534088,0.29473363754,0.0,143466658.667,5379999700.0,457000.0,0.556,5379999700.0,0.0
HOMEWOODALSATSITE;2,0.266142761967,0.266142761967,0.298016111612,0.167005084306,0.289803159862,0.0,141066664.0,5289999900.0,398000.0,0.451,5289999900.0,0.0
HOMEWOODALSATSITE;2,0.265086240586,0.265086240586,0.554850964183,0.340345993428,0.287611831579,0.0117082953516,140506664.0,5268999900.0,741002.5,0.91911,5249999900.0,19000000.0
HOMEWOODALSATSITE;2,0.255074452797,0.255074452797,0.378136021015,0.20403503648,0.277750865266,0.0,135200002.667,5070000100.0,505000.0,0.551,5070000100.0,0.0
HOMEWOODALSATSITE;2,0.255537299721,0.255537299721,0.535385195727,0.288255959705,0.276655190168,0.0179938012772,135445330.667,5079199900.0,715006.0,0.77844,5049999900.0,29200000.0
HOMEWOODALSATSITE;2,0.256090720714,0.256090720714,0.508426343781,0.319716607072,0.276107363575,0.0309345487711,135738666.667,5090200000.0,679002.5,0.8634,5040000000.0,50200000.0
HOMEWOODALSATSITE;2,0.245012344404,0.245012344404,0.171471581807,0.236251094871,0.266794223854,0.0,129866669.333,4870000100.0,229000.0,0.638,4870000100.0,0.0
HOMEWOODALSATSITE;2,0.243035135074,0.243035135074,0.371398835176,0.238387723112,0.262959393881,0.0189181403839,128818666.667,4830700000.0,496002.5,0.64377,4800000000.0,30700000.0
HOMEWOODALSATSITE;2,0.239981280145,0.239981280145,0.331711400613,0.252544273828,0.261315892191,0.0,127199997.333,4769999900.0,443000.0,0.682,4769999900.0,0.0
HOMEWOODALSATSITE;2,0.236711094917,0.236711094917,0.232125348362,0.168464064421,0.256933235627,0.00924339106705,125466664.0,4704999900.0,310003.0,0.45494,4689999900.0,15000000.0
HOMEWOODALSATSITE;2,0.233008239029,0.233008239029,0.194685763968,0.170263720097,0.252550579062,0.0131872379223,123503997.333,4631399900.0,260002.5,0.4598,4609999900.0,21400000.0
HOMEWOODALSATSITE;2,0.231458684398,0.231458684398,0.143020402951,0.166382981109,0.251454925877,0.00653199635405,122682669.333,4600600100.0,191003.5,0.44932,4590000100.0,10600000.0
HOMEWOODALSATSITE;2,0.232248559907,0.232248559907,0.521904833774,0.244586537106,0.251454925877,0.0162067456709,123101336.0,4616300100.0,697003.0,0.66051,4590000100.0,26300000.0
HOMEWOODALSATSITE;2,0.225129628281,0.225129628281,0.253092054747,0.18614956958,0.244333119916,0.00912014585282,119328008.0,4474800300.0,338004.0,0.5027,4460000300.0,14800000.0
HOMEWOODALSATSITE;2,0.222417890069,0.222417890069,0.353428014375,0.250252119788,0.239950463352,0.0252036463095,117890674.667,4420900300.0,472002.5,0.67581,4380000300.0,40900000.0
HOMEWOODALSATSITE;2,0.21784464168,0.21784464168,0.602022496824,0.281797936046,0.237211281086,0.0,115466664.0,4329999900.0,804000.0,0.761,4329999900.0,0.0
HOMEWOODALSATSITE;2,0.216838440903,0.216838440903,0.131786019205,0.0888718852181,0.236115627901,0.0,114933336.0,4310000100.0,176000.0,0.24,4310000100.0,0.0
HOMEWOODALSATSITE;2,0.215937883711,0.215937883711,0.338452330374,0.180517313854,0.233924301262,0.0136185961721,114456003.467,4292100130.0,452002.5,0.48749,4270000130.0,22100000.0
HOMEWOODALSATSITE;2,0.214322908774,0.214322908774,0.649195901426,0.193296350349,0.23337646207,0.0,113600000.0,4260000000.0,867000.0,0.522,4260000000.0,0.0
HOMEWOODALSATSITE;2,0.212878989679,0.212878989679,0.126546776158,0.123431939582,0.230637294595,0.0131256153152,112834663.2,4231299870.0,169003.0,0.33333,4209999870.0,21300000.0
HOMEWOODALSATSITE;2,0.211223785929,0.211223785929,1.33283812241,0.288400376518,0.227350316415,0.029825341843,111957336.8,4198400130.0,1780003.0,0.77883,4150000130.0,48400000.0
HOMEWOODALSATSITE;2,0.208285643738,0.208285643738,0.50468055082,0.220698514958,0.226802477223,0.0,110400000.0,4140000000.0,674000.0,0.596,4140000000.0,0.0
HOMEWOODALSATSITE;2,0.20526701122,0.20526701122,0.622239670225,0.238472892002,0.223515484799,0.0,108800000.0,4080000000.0,831000.0,0.644,4080000000.0,0.0
HOMEWOODALSATSITE;2,0.204145086134,0.204145086134,0.263574284763,0.236095569072,0.221324156517,0.0109072014591,108205333.333,4057700000.0,352003.0,0.63758,4040000000.0,17700000.0
HOMEWOODALSATSITE;2,0.2022514728,0.2022514728,1.19056725244,0.279576561057,0.220228492376,3.78979033749e-05,107201640.0,4020061500.0,1590000.5,0.75500114,4020000000.0,61500.0
HOMEWOODALSATSITE;2,0.202560304062,0.202560304062,0.360167820959,0.194903450274,0.219132828235,0.0161451230638,107365333.333,4026200000.0,481003.5,0.52634,4000000000.0,26200000.0
HOMEWOODALSATSITE;2,0.196211113666,0.196211113666,0.178210639607,0.138492021131,0.213654507529,0.0,104000000.0,3900000000.0,238000.0,0.374,3900000000.0,0.0
HOMEWOODALSATSITE;2,0.196834964387,0.196834964387,0.17596653336,0.182457683348,0.213654507529,0.0076412032821,104330666.667,3912400000.0,235003.0,0.49273,3900000000.0,12400000.0
HOMEWOODALSATSITE;2,0.195708001706,0.195708001706,0.298764895812,0.151082204871,0.213106668336,0.0,103733329.867,3889999870.0,399000.0,0.408,3889999870.0,0.0
HOMEWOODALSATSITE;2,0.19637210086,0.19637210086,0.246352248163,0.123598574367,0.213106668336,0.008134184139,104085329.867,3903199870.0,329003.0,0.33378,3889999870.0,13200000.0
HOMEWOODALSATSITE;2,0.187995402163,0.187995402163,1.07825186879,0.275799083793,0.201602201976,0.0349400182335,99645333.3333,3736700000.0,1440003.5,0.7448,3680000000.0,56700000.0
HOMEWOODALSATSITE;2,0.184458571063,0.184458571063,0.358669503775,0.201679931521,0.199410873693,0.016268368278,97770666.6667,3666400000.0,479002.5,0.54464,3640000000.0,26400000.0
HOMEWOODALSATSITE;2,0.184121483891,0.184121483891,0.251593737563,0.152489343053,0.19776737036,0.0306264357355,97591996.5333,3659699870.0,336003.0,0.4118,3609999870.0,49700000.0
HOMEWOODALSATSITE;2,0.180614852197,0.180614852197,0.205915655008,0.199221142697,0.196671720462,0.0,95733336.8,3590000130.0,275000.0,0.538,3590000130.0,0.0
HOMEWOODALSATSITE;2,0.180816087825,0.180816087825,0.234371700962,0.171241310834,0.19612388127,0.00862716499591,95840000.0,3594000000.0,313003.0,0.46244,3580000000.0,14000000.0
HOMEWOODALSATSITE;2,0.171558941563,0.171558941563,0.271808664611,0.210700427871,0.186810728948,0.0,90933329.8667,3409999870.0,363000.0,0.569,3409999870.0,0.0
HOMEWOODALSATSITE;2,0.169548733548,0.169548733548,0.134032746198,0.166635086578,0.184619400666,2.711394713e-05,89867836.5333,3370043870.0,179000.5,0.450000815,3369999870.0,44000.0
HOMEWOODALSATSITE;2,0.167009875439,0.167009875439,0.173719806368,0.103828282901,0.181332422486,0.00590344576149,88522136.8,3319580130.0,232002.5,0.28039,3310000130.0,9580000.0
HOMEWOODALSATSITE;2,0.1662209996,0.1662209996,0.298766767773,0.138203187505,0.179688919152,0.0147278031002,88104000.0,3303900000.0,399002.5,0.37322,3280000000.0,23900000.0
HOMEWOODALSATSITE;2,0.162991062806,0.162991062806,0.301761904573,0.152933702479,0.176401926729,0.0121396536014,86392000.0,3239700000.0,403002.5,0.413,3220000000.0,19700000.0
HOMEWOODALSATSITE;2,0.159987523451,0.159987523451,0.213403497009,0.154044601045,0.174210598446,0.0,84800000.0,3180000000.0,285000.0,0.416,3180000000.0,0.0
HOMEWOODALSATSITE;2,0.159484411491,0.159484411491,0.298764895812,0.158117895784,0.173662759254,0.0,84533329.8667,3169999870.0,399000.0,0.427,3169999870.0,0.0
HOMEWOODALSATSITE;2,0.150931625897,0.150931625897,0.169974013407,0.117755247914,0.164349621176,0.0,80000000.0,3000000000.0,227000.0,0.318,3000000000.0,0.0
HOMEWOODALSATSITE;2,0.150931625897,0.150931625897,0.49419757202,0.173670475697,0.164349621176,0.0,80000000.0,3000000000.0,660000.0,0.469,3000000000.0,0.0
HOMEWOODALSATSITE;2,0.148330564337,0.148330564337,0.272559320772,0.18572372513,0.16051478956,0.0112769371018,78621329.8667,2948299870.0,364002.5,0.50155,2929999870.0,18300000.0
