transitsite,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
HOMEWOODALSATSITE;2,0.602615305037,0.602615305037,1.23765863234,0.743840129381,293333346.667,11000000500.0,1530000.0,1.86
HOMEWOODALSATSITE;2,0.519892629508,0.519892629508,0.299303067953,0.311932957482,253066664.0,9489999900.0,370000.0,0.78
HOMEWOODALSATSITE;2,0.512222964085,0.512222964085,0.444101038665,0.431907171898,249333322.667,9349999600.0,549000.0,1.08
HOMEWOODALSATSITE;2,0.510579462395,0.510579462395,0.541172303947,0.539883964873,248533320.0,9319999500.0,669000.0,1.35
HOMEWOODALSATSITE;2,0.502362003249,0.502362003249,0.656039967864,0.595871931601,244533330.667,9169999900.0,811000.0,1.49
HOMEWOODALSATSITE;2,0.478257419535,0.478257419535,0.740168397775,0.539883964873,232800010.667,8730000400.0,915000.0,1.35
HOMEWOODALSATSITE;2,0.446483143006,0.446483143006,0.280697742107,0.523887402951,217333336.0,8150000100.0,347000.0,1.31
HOMEWOODALSATSITE;2,0.436622154779,0.436622154779,1.07587319021,0.603870212562,212533330.667,7969999900.0,1330000.0,1.51
HOMEWOODALSATSITE;2,0.433882999904,0.433882999904,0.747448742671,0.523887402951,211200000.0,7920000000.0,924000.0,1.31
HOMEWOODALSATSITE;2,0.422926358493,0.422926358493,0.29606735911,0.467899436223,205866666.667,7720000000.0,366000.0,1.17
HOMEWOODALSATSITE;2,0.409230562206,0.409230562206,0.588090082167,0.471898576704,199200002.667,7470000100.0,727000.0,1.18
HOMEWOODALSATSITE;2,0.402108756245,0.402108756245,0.466751000564,0.355923502768,195733341.333,7340000300.0,577000.0,0.89
HOMEWOODALSATSITE;2,0.391152081964,0.391152081964,0.825914682107,0.381917915892,190399992.0,7139999700.0,1021000.0,0.955
HOMEWOODALSATSITE;2,0.381291121128,0.381291121128,0.412552877448,0.267942412196,185600000.0,6960000000.0,510000.0,0.67
HOMEWOODALSATSITE;2,0.379647619438,0.379647619438,0.262092416261,0.491894279107,184799997.333,6929999900.0,324000.0,1.23
HOMEWOODALSATSITE;2,0.373621455705,0.373621455705,0.427922494451,0.455902014782,181866658.667,6819999700.0,529000.0,1.14
HOMEWOODALSATSITE;2,0.365403996559,0.365403996559,0.613166825698,0.351124534192,177866669.333,6670000100.0,758000.0,0.878
